Customer ID,age,workclass,education,marital-status,occupation,relationship,sex,hours-per-week,Response,capital-loss,num-products,capital-gain
31,46,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,38,Yes,0,10,768.8
32,56,Self-emp-not-inc,11th,Widowed,Other-service,Unmarried,Female,50,No,0,7,
33,24,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,Male,50,No,0,13,
34,23,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,40,No,0,10,
35,26,Private,HS-grad,Divorced,Exec-managerial,Unmarried,Female,40,No,0,9,
36,65,?,HS-grad,Married-civ-spouse,?,Husband,Male,40,No,0,9,
37,36,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,40,Yes,0,13,
38,22,Private,5th-6th,Never-married,Priv-house-serv,Not-in-family,Male,50,No,0,3,
39,17,Private,10th,Never-married,Machine-op-inspct,Not-in-family,Male,40,No,0,6,
40,20,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,40,No,0,9,
41,65,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,50,Yes,0,14,
42,44,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,Male,45,Yes,0,11,
43,36,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,40,No,0,9,
44,29,Private,11th,Married-civ-spouse,Other-service,Husband,Male,40,No,0,7,
45,20,State-gov,Some-college,Never-married,Farming-fishing,Own-child,Male,32,No,0,10,
46,28,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,Female,36,Yes,0,11,
47,39,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,40,No,0,4,
48,54,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,50,No,0,10,390.8
49,52,Private,11th,Separated,Priv-house-serv,Not-in-family,Female,18,No,0,7,
50,56,Self-emp-inc,HS-grad,Widowed,Exec-managerial,Not-in-family,Female,50,No,0,9,
51,18,Private,Some-college,Never-married,Other-service,Own-child,Male,20,No,0,10,
52,39,Private,HS-grad,Divorced,Handlers-cleaners,Own-child,Male,40,No,0,9,
53,21,Private,Some-college,Never-married,Other-service,Own-child,Female,24,No,1721,10,
54,22,Private,HS-grad,Never-married,Other-service,Not-in-family,Male,60,Yes,0,9,1408.4
55,38,Private,9th,Married-spouse-absent,Exec-managerial,Not-in-family,Male,54,No,0,5,
56,21,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,40,No,0,10,
57,63,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,40,No,0,9,
58,34,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,50,Yes,0,13,310.3
59,42,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,50,Yes,0,9,517.8
60,33,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,40,No,0,9,
61,30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,50,No,0,13,
62,39,Private,Some-college,Divorced,Sales,Not-in-family,Male,40,No,0,10,
63,26,Private,Masters,Never-married,Exec-managerial,Not-in-family,Female,40,No,0,14,
64,33,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Female,40,No,0,9,
65,47,Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,40,No,0,9,
66,41,Private,Bachelors,Never-married,Other-service,Not-in-family,Female,40,No,0,13,
67,41,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,Male,60,Yes,0,12,1502.4
68,19,Private,Some-college,Never-married,Other-service,Own-child,Male,20,No,0,10,
69,46,Private,HS-grad,Separated,Transport-moving,Not-in-family,Male,40,No,0,9,
70,43,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,48,No,0,9,
71,55,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,45,Yes,0,10,1502.4
72,46,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,Male,40,No,0,11,
73,30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,40,No,0,9,
74,21,Private,Some-college,Separated,Handlers-cleaners,Not-in-family,Female,40,No,0,10,
75,46,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,40,No,0,10,
76,17,?,10th,Never-married,?,Own-child,Male,40,No,0,6,
77,41,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,50,No,0,9,
78,69,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,30,No,0,9,
79,50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,40,No,0,9,
80,20,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,40,No,0,10,
81,45,Self-emp-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,50,No,0,10,
82,23,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Male,40,No,0,13,
83,24,Private,Some-college,Separated,Other-service,Not-in-family,Male,40,No,1876,10,
84,44,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,50,Yes,0,9,9999.9
85,31,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,50,No,0,10,
86,43,Private,HS-grad,Separated,Machine-op-inspct,Not-in-family,Female,44,No,0,9,
87,20,Federal-gov,11th,Never-married,Other-service,Own-child,Female,10,No,0,7,
88,55,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,56,Yes,0,9,
89,24,Federal-gov,Some-college,Never-married,Armed-Forces,Not-in-family,Male,40,No,0,10,
90,41,?,Masters,Married-civ-spouse,?,Wife,Female,10,Yes,0,14,768.8
91,59,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,25,No,0,13,
92,49,Federal-gov,7th-8th,Never-married,Other-service,Not-in-family,Male,20,No,0,4,
93,33,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,10,Yes,0,14,517.8
94,59,Federal-gov,Bachelors,Divorced,Adm-clerical,Not-in-family,Male,40,No,0,13,
95,34,Private,Masters,Never-married,Other-service,Not-in-family,Male,40,No,0,14,
96,20,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,40,No,0,9,
97,25,Private,Bachelors,Never-married,Exec-managerial,Own-child,Female,40,No,0,13,
98,49,Private,10th,Married-civ-spouse,Farming-fishing,Husband,Male,40,No,0,6,
99,59,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,40,Yes,0,9,
100,20,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,40,No,0,9,
101,51,?,Some-college,Married-civ-spouse,?,Wife,Female,18,No,0,10,
102,33,Private,Some-college,Never-married,Adm-clerical,Unmarried,Female,35,No,0,10,
103,22,Private,Some-college,Never-married,Transport-moving,Own-child,Male,39,No,0,10,
104,58,Self-emp-not-inc,9th,Widowed,Other-service,Not-in-family,Female,40,No,0,5,
105,52,Local-gov,HS-grad,Widowed,Adm-clerical,Unmarried,Female,28,No,0,9,
106,36,Private,10th,Separated,Machine-op-inspct,Not-in-family,Female,40,No,0,6,
107,41,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,Male,40,No,0,9,
108,28,Private,HS-grad,Never-married,Transport-moving,Own-child,Male,40,No,0,9,259.7
109,19,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Male,16,No,0,10,
110,18,Private,HS-grad,Never-married,Other-service,Not-in-family,Female,28,No,0,9,
111,18,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Female,48,No,0,9,
112,28,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,40,No,0,10,
113,29,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,Male,40,Yes,0,11,
114,20,?,HS-grad,Never-married,?,Own-child,Female,20,No,0,9,
115,40,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Male,40,No,0,10,
116,26,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,Male,40,No,0,9,
117,46,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,40,No,0,9,
118,23,Private,11th,Never-married,Other-service,Not-in-family,Female,24,No,0,7,
119,44,Private,HS-grad,Married-spouse-absent,Adm-clerical,Unmarried,Female,40,No,0,9,
120,43,Private,Bachelors,Divorced,Sales,Unmarried,Female,40,Yes,0,13,
121,31,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,Female,60,No,0,13,
122,18,Private,Some-college,Never-married,Sales,Own-child,Female,25,No,0,10,
123,19,Private,Some-college,Never-married,Protective-serv,Own-child,Male,30,No,0,10,
124,41,Private,Some-college,Divorced,Tech-support,Not-in-family,Female,40,No,0,10,
125,41,Private,HS-grad,Divorced,Handlers-cleaners,Unmarried,Female,40,No,0,9,
126,69,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,25,No,0,9,
127,48,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Wife,Female,40,Yes,0,16,
128,28,Private,HS-grad,Never-married,Prof-specialty,Own-child,Male,40,No,0,9,
129,27,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,60,Yes,0,9,
130,41,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,50,Yes,2415,14,
131,41,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,40,No,0,10,
132,24,Private,HS-grad,Never-married,Craft-repair,Unmarried,Female,40,No,0,9,
133,20,?,HS-grad,Never-married,?,Not-in-family,Female,40,No,0,9,
134,42,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,41,Yes,0,16,
135,57,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,48,No,0,9,
136,30,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,Female,40,No,0,12,
137,36,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,60,Yes,0,9,
138,49,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,Male,40,No,0,4,
139,33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Female,35,No,0,9,
140,23,Private,10th,Married-civ-spouse,Farming-fishing,Husband,Male,40,No,0,6,
141,46,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,40,No,0,14,
142,18,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,22,No,0,10,
143,40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,55,Yes,0,9,768.8
144,43,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,45,Yes,1887,9,
145,34,Private,Masters,Never-married,Prof-specialty,Own-child,Female,30,No,0,14,
146,47,Self-emp-not-inc,HS-grad,Widowed,Exec-managerial,Not-in-family,Female,30,No,0,9,
147,44,Private,Assoc-voc,Widowed,Exec-managerial,Unmarried,Female,30,No,0,11,
148,33,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,40,Yes,0,9,
149,55,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,50,Yes,0,13,1502.4
150,19,Private,HS-grad,Never-married,Sales,Not-in-family,Male,30,No,0,9,290.7
151,28,Private,Some-college,Never-married,Other-service,Not-in-family,Male,14,No,0,10,
152,27,Private,11th,Married-civ-spouse,Other-service,Wife,Female,32,No,0,7,
153,50,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,Male,20,No,0,4,
154,22,Private,11th,Never-married,Craft-repair,Unmarried,Male,40,No,0,7,
155,40,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,45,Yes,1887,13,
156,25,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,40,No,0,10,
157,26,Local-gov,HS-grad,Never-married,Craft-repair,Not-in-family,Male,40,No,0,9,
158,22,Private,Bachelors,Never-married,Sales,Not-in-family,Male,25,No,0,13,
159,42,Private,Some-college,Never-married,Handlers-cleaners,Unmarried,Female,40,No,625,10,
160,38,Self-emp-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,Male,40,No,0,13,
161,55,Private,11th,Married-civ-spouse,Other-service,Husband,Male,30,No,0,7,
162,32,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,40,No,0,9,
163,22,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,45,No,0,9,
164,29,Private,Bachelors,Never-married,Sales,Own-child,Male,40,No,0,13,
165,46,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,45,Yes,0,14,
166,31,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,40,Yes,0,10,
167,58,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,16,Yes,0,16,
168,42,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,45,No,0,9,
169,18,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,Male,25,No,0,9,
170,58,Local-gov,HS-grad,Divorced,Exec-managerial,Not-in-family,Male,33,No,0,9,
171,54,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Male,40,Yes,1887,9,
172,34,Private,Masters,Never-married,Prof-specialty,Not-in-family,Male,40,No,0,14,
173,26,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Female,40,No,0,13,
174,61,Private,12th,Married-civ-spouse,Exec-managerial,Husband,Male,60,No,0,8,
175,48,Local-gov,Masters,Separated,Adm-clerical,Unmarried,Female,40,No,0,14,
176,36,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,45,Yes,0,10,
177,24,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,Male,45,No,0,11,
178,40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,37,No,0,10,
179,33,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,50,Yes,0,9,
180,37,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,40,Yes,1887,10,
181,34,Private,Masters,Never-married,Exec-managerial,Own-child,Male,40,No,0,14,465
182,56,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,40,Yes,0,10,1502.4
183,28,?,HS-grad,Married-civ-spouse,?,Own-child,Female,38,Yes,0,9,
184,37,Private,Bachelors,Widowed,Exec-managerial,Not-in-family,Female,55,No,0,13,
185,44,Private,HS-grad,Divorced,Sales,Unmarried,Female,40,No,0,9,
186,64,?,Some-college,Married-civ-spouse,?,Husband,Male,8,No,0,10,
187,54,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,Male,45,No,0,9,
188,23,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,50,No,0,9,
189,34,State-gov,Bachelors,Married-spouse-absent,Farming-fishing,Not-in-family,Male,40,No,0,13,
190,22,Private,HS-grad,Never-married,Other-service,Not-in-family,Female,45,No,0,9,
191,33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,40,Yes,1977,13,
192,39,Private,Bachelors,Separated,Prof-specialty,Not-in-family,Male,50,Yes,0,13,
193,47,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Female,37,No,0,10,
194,79,?,7th-8th,Widowed,?,Not-in-family,Male,40,No,0,4,
195,26,Private,HS-grad,Never-married,Prof-specialty,Unmarried,Female,55,No,0,9,
196,31,Private,Some-college,Divorced,Exec-managerial,Unmarried,Female,40,No,0,10,
197,44,Private,Some-college,Never-married,Transport-moving,Not-in-family,Male,45,No,0,10,
198,42,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Wife,Female,50,Yes,0,15,
199,19,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Female,40,No,0,9,
200,27,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,40,Yes,0,9,
201,51,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,40,Yes,0,10,
202,28,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,50,No,0,13,
203,57,Private,Bachelors,Divorced,Craft-repair,Not-in-family,Male,45,No,0,13,
204,45,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,Female,40,No,0,13,
205,50,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,Male,40,Yes,0,11,
206,34,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,Male,54,No,0,13,
207,45,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,40,No,0,4,
208,73,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,20,No,0,9,
209,34,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Female,50,Yes,0,13,
210,31,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,55,Yes,0,10,
211,19,Private,11th,Never-married,Sales,Not-in-family,Male,12,No,0,7,
212,25,Private,Some-college,Never-married,Other-service,Own-child,Female,50,No,0,10,
213,38,Federal-gov,Assoc-voc,Divorced,Craft-repair,Unmarried,Female,40,No,0,11,649.7
214,39,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,Male,40,No,0,13,
215,23,Private,Bachelors,Never-married,Tech-support,Own-child,Female,32,No,0,13,
216,49,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,40,No,0,9,
217,33,Federal-gov,HS-grad,Never-married,Other-service,Not-in-family,Male,32,No,0,9,
218,21,Private,5th-6th,Never-married,Machine-op-inspct,Other-relative,Male,38,No,0,3,
219,31,Private,Assoc-voc,Separated,Craft-repair,Not-in-family,Male,40,No,0,11,
220,23,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,45,No,0,13,
221,34,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,40,No,0,13,
222,25,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Female,40,No,0,9,
223,39,Private,HS-grad,Never-married,Craft-repair,Unmarried,Male,40,No,0,9,
224,52,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,40,Yes,0,9,
225,63,Local-gov,9th,Married-civ-spouse,Transport-moving,Husband,Male,40,Yes,0,5,768.8
226,41,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,40,No,0,10,
227,46,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,38,Yes,0,13,1502.4
228,53,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,40,No,0,9,
229,25,?,9th,Separated,?,Not-in-family,Female,40,No,0,5,105.5
230,77,?,Some-college,Married-civ-spouse,?,Husband,Male,35,No,0,10,
231,18,Private,12th,Never-married,Priv-house-serv,Own-child,Male,40,No,0,8,
232,38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,50,No,0,15,
233,55,Private,Masters,Never-married,Exec-managerial,Unmarried,Female,50,No,0,14,
234,34,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,Male,40,Yes,0,9,
235,80,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,Male,30,No,0,9,
236,34,Private,Assoc-voc,Divorced,Tech-support,Unmarried,Female,60,No,0,11,
237,52,Private,Some-college,Married-civ-spouse,Tech-support,Husband,Male,40,No,0,10,501.3
238,42,Private,HS-grad,Never-married,Other-service,Unmarried,Female,28,No,0,9,
239,26,Private,Some-college,Never-married,Sales,Not-in-family,Female,40,No,0,10,
240,31,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,40,No,0,9,
241,25,Local-gov,HS-grad,Never-married,Other-service,Own-child,Female,35,No,0,9,
242,55,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,60,No,2057,9,
243,19,Private,Some-college,Never-married,Other-service,Own-child,Female,12,No,0,10,
244,62,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,32,No,0,10,
245,22,Federal-gov,Some-college,Never-married,Adm-clerical,Own-child,Female,20,No,0,10,
246,39,?,HS-grad,Married-civ-spouse,?,Wife,Female,50,No,0,9,
247,35,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,40,No,0,9,
248,28,Private,HS-grad,Married-civ-spouse,Sales,Own-child,Female,40,No,0,9,
249,47,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,70,Yes,0,9,
250,44,State-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,40,No,0,9,
251,21,Private,Some-college,Never-married,Sales,Own-child,Male,15,No,0,10,
252,35,Private,Assoc-voc,Never-married,Craft-repair,Not-in-family,Male,50,No,0,11,
253,24,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,40,Yes,0,13,
254,42,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,40,No,0,13,
255,28,Private,Bachelors,Never-married,Tech-support,Own-child,Male,50,No,0,13,
256,21,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,Male,35,No,0,10,
257,62,Federal-gov,Some-college,Divorced,Tech-support,Not-in-family,Male,40,No,0,10,465
258,39,Private,HS-grad,Never-married,Other-service,Not-in-family,Female,40,No,0,9,
259,30,State-gov,HS-grad,Never-married,Other-service,Not-in-family,Male,40,No,0,9,
260,72,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,Male,20,No,1429,15,
261,50,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Female,50,No,0,10,
262,28,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,Male,40,No,0,14,
263,29,Private,Some-college,Never-married,Prof-specialty,Not-in-family,Female,40,No,0,10,
264,26,Private,Bachelors,Never-married,Adm-clerical,Own-child,Female,40,No,0,13,
265,27,Private,Masters,Never-married,Exec-managerial,Not-in-family,Female,40,No,0,14,
266,29,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Male,40,Yes,0,10,310.3
267,61,?,HS-grad,Married-civ-spouse,?,Husband,Male,40,No,0,9,
268,29,Private,10th,Married-civ-spouse,Craft-repair,Husband,Male,25,No,0,6,
269,21,?,Some-college,Never-married,?,Own-child,Female,30,No,0,10,
270,31,Private,11th,Married-civ-spouse,Sales,Wife,Female,20,No,0,7,
271,25,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,75,No,0,9,
272,58,Private,10th,Married-civ-spouse,Transport-moving,Husband,Male,40,Yes,0,6,
273,64,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Female,40,Yes,0,10,
274,46,State-gov,Masters,Never-married,Exec-managerial,Not-in-family,Male,38,No,0,14,
275,53,?,HS-grad,Married-civ-spouse,?,Husband,Male,35,Yes,0,9,
276,19,Private,HS-grad,Never-married,Other-service,Own-child,Female,35,No,0,9,
277,42,Private,HS-grad,Divorced,Other-service,Not-in-family,Male,52,No,0,9,
278,18,Private,11th,Never-married,Handlers-cleaners,Own-child,Male,24,No,0,7,
279,58,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,Male,50,Yes,0,13,1502.4
280,20,Private,Some-college,Never-married,Protective-serv,Not-in-family,Male,60,No,0,10,
281,35,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,40,Yes,0,9,
282,32,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,38,Yes,0,9,
283,23,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Female,25,No,0,9,
284,31,Private,Some-college,Divorced,Tech-support,Unmarried,Female,40,No,0,10,
285,33,Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,55,No,0,13,
286,41,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,Female,48,No,0,10,
287,22,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,40,No,0,9,
288,46,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,40,Yes,0,10,
289,61,Federal-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,40,No,0,10,
290,30,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Male,40,No,0,9,
291,42,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,55,Yes,0,9,
292,63,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,Male,40,No,0,6,
293,26,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,40,No,0,10,
294,42,Private,10th,Divorced,Adm-clerical,Unmarried,Female,40,No,0,6,
295,23,Private,Some-college,Married-civ-spouse,Other-service,Husband,Male,40,No,0,10,
296,25,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Male,40,No,1590,9,
297,30,Private,9th,Married-civ-spouse,Other-service,Husband,Male,32,Yes,0,5,
298,23,Private,HS-grad,Never-married,Sales,Own-child,Male,40,No,0,9,
299,34,Self-emp-not-inc,Assoc-voc,Never-married,Farming-fishing,Not-in-family,Male,60,Yes,0,11,2782.8
300,30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Other-relative,Male,48,No,2057,9,
301,39,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,40,Yes,0,10,
302,30,Private,11th,Never-married,Handlers-cleaners,Other-relative,Male,38,No,1721,7,
